U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
P20192389400015408749         TUPY NIPEL GALV 3/4                               PC    ATT1700000000000280
P20192389400015408750         TUPY NIPEL GALV 1                                 PC    ATT1700000000000470
P20192389400015408751         TUPAN NIPLE GALVANIZADO DUPLO 1.1/4               PC    ATT1700000000000500
P20192389400015408752         TUPY NIPEL GALV 1.1/2                             PC    ATT1700000000000800
P20192389400015408753         TUPAN NIPLE GALVANIZADO DUPLO 2                   PC    ATT1700000000000360
P20192389400015408754         TUPY BUCHA RED. GALVANIZADA 1X3/4                 PC    ATT1700000000000554
P20192389400015408755         TUPAN BUCHA RED. GALVANIZADA 1.1/4X1              PC    ATT1700000000000300
P20192389400015408756         TUPAN BUCHA RED. GALVANIZADA 1.1/2X1              PC    ATT1700000000000220
P20192389400015408757         TUPAN BUCHA RED. GALVANIZADA 1.1/2X1.1/4          PC    ATT1700000000000520
P20192389400015408761         POLIEST PANTANAL OURO                             UN    ATT1700000000005550
P20192389400015408762         CBA PERFIL AL LIGA 6060 T-0030                    M     ATT1700000000000600
P20192389400015408763         CBA PERFIL AL LIGA 6063 V-0001                    M     ATT1700000000000925
P20192389400015408764         CBA PERFIL AL LIGA 6060 KR-1080                   M     ATT1700000000000670
P20192389400015408765         CBA PERFIL AL LIGA 6060 R-0018/BARRA 3/4 X 1/8    M     ATT1700000000000525
P20192389400015408766         CBA PERF AL LIGA 6060 V-0047/BARRA RED.1/4        M     ATT1700000000000235
P20192389400015408771         GERDAU CANTONEIRA 2.1/2 X 1/4                     PC    ATT1700000000020350
P20192389400015408772         ACO CEARENSE CHAPA PRETA 1/8 2X1                  PC    ATT1700000000018100
P20192389400015408773         GERDAU BARRA CHATA 1.1/2 X 3/8                    PC    ATT1700000000008820
P20192389400015408774         GERDAU VERGALHAO 6.0 CA-50 KG                     KG    ATF0000000000000810
P2019238940001548304          BANDEIRANTES PERFIL MWA 053                       UNI   ATT1700000000000430
P20192389400015408776         CBA PERFIL AL LIGA 6060 KR-1002                   M     ATT1700000000000115
P20192389400015408193         GEPETEC ROLDANA ACO 2 CX ABERTA BUZIO             PC    ATT1700000000001799
P20192389400015408777         AGROLAR BOBINA C/MOLA 5.50 MTS 50                 PC    ATF0000000000006640
P20192389400015408778         BRASKORT DISCO CORTE 12.1/8X1                     PC    ATT1700000000001090
P20192389400015408779         BRASKORT DISCO DESBASTE 7X1/4X7/8                 PC    ATT1700000000000760
P20192389400015408780         GERDAU BARRA REDONDA 1.1/4 6M                     PC    ATT1700000000023199
P20192389400015408781         LINCOLN ELETRODO 3.25 6013                        KG    ATF0000000000001480
P20192389400015408782         LINCOLN ELETRODO 2.50 INOX                        KG    ATF0000000000005200
P20192389400015408783         ACO CEARENSE PERFIL U 4 X 2.00MM                  M     ATT1700000000000930
P20192389400015408784         ACO CEARENSE PERFIL ENR 4 X 2,00  40MM            PC    ATT1700000000007999
P20192389400015408785         GERDAU COLUNA ACO 5/16 8MM 6MT                    PC    ATF0000000000005600
P20192389400015408786         CBA PERF AL LIGA 1050 CUMEEIRA                    M     ATT1700000000003200
P20192389400015408790         ACO CEARENSE TUBO INDUSTRIAL 1 X 2.00             M     ATT1700000000000655
P20192389400015408791         GERDAU COLUNA ACO 3/8 10MM 6MT                    PC    ATF0000000000009950
P20192389400015408792         ACO CEARENSE CHAPA PRETA 3/16 2 X 1.20            PC    ATT1700000000041000
P20192389400015408793         GERDAU CANTONEIRA 1.1/2 X 1/4                     PC    ATT1700000000010530
P20192389400015408794         CBA PERFIL AL LIGA 6060 N-2122/CADEIRINHA P/PORTA M     ATT1700000000001180
P20192389400015408795         CBA PERFIL AL LIGA 6060 K-0402 QUADRADO           M     ATT1700000000000705
P20192389400015408796         CBA PERFIL AL LIGA 6060 KR-1003 REDONDO           M     ATT1700000000000490
P20192389400015408797         CBA PERF AL LIGA 6060 N-2063/ MARCO LATERAL       M     ATT1700000000000505
P20192389400015408798         AGROLAR TUBO ELETRO 1 X 2.00                      M     ATT1700000000001200
P20192389400015408799         AGROLAR TUBO ELETRO 3/4 X 2.00                    M     ATT1700000000000940
P20192389400015408801         TARUGO 3/8                                        PC    ATF0000000000000110
P20192389400015408800         ACO CEARENSE TELHA MT TZ 40 CINCALUM 0.43         M     ATF0000000000002700
P20192389400015408802         CBA PERFIL AL LIGA 6060 N-2637 MOLDURA PEQUENA    M     ATT1700000000001650
P20192389400015408803         AGROLAR TUBO ELETRO 1.1/4 X 2.00                  M     ATT1700000000001530
P20192389400015408804         AGROLAR TUBO ELETRO 2 X 2.00                      M     ATT1700000000002180
P20192389400015408806         ACO CEARENSE CHAPA PRETA 24 2 X 1.00              PC    ATT1700000000005300
P20192389400015408807         ACO CEARENSE CHAPA PRETA 12 2 X 1.20              PC    ATT1700000000022600
P20192389400015408808         ACO CEARENSE CHAPA ROLO 28 30CM                   KG    ATT1700000000000620
P20192389400015408809         AGROLAR BOBINA C/MOLA 6.00 MTS 50                 PC    ATF0000000000006910
P20192389400015408810         GERDAU BARRA CHATA 1.1/2 X 5/16                   PC    ATT1700000000007570
P20192389400015408811         POLIEST AMAZONAS AZUL                             PC    ATT1700000000005550
P20192389400015408812         POLIEST ANDURINHA OURO                            PC    ATT1700000000005550
P20192389400015408813         POLIEST ANDURINHA VERDE                           PC    ATT1700000000005550
P20192389400015408814         POLIEST MARTELAO FUME                             PC    ATT1700000000005550
P20192389400015408815         POLIEST MARTELADO OURO                            PC    ATT1700000000005550
P20192389400015408817         CBA PERFIL AL LIGA 6060 N-2121                    M     ATT1700000000001000
P20192389400015408818         CBA PERFIL AL LIGA 6060 N-2125                    M     ATT1700000000000580
P20192389400015408819         CBA PERFIL AL LIGA 6060 N-2123                    M     ATT1700000000000960
P20192389400015408820         CBA PERFIL AL LIGA 6060 N-1348                    M     ATT1700000000001235
P20192389400015408821         ACO CEARENSE CHAPA PRETA 1/4 2 X 1.20             PC    ATT1700000000056199
P20192389400015408822         ACO CEARENSE CHAPA PRETA 3/16 2X1                 PC    ATT1700000000032100
P20192389400015408823         CBA PERFIL AL LIGA 6060 L-0037                    M     ATT1700000000000190
P20192389400015408824         GERDAU BARRA CHATA 5/8 X 1/4                      PC    ATT1700000000003000
P20192389400015408825         GERDAU BARRA CHATA 4 X 1/4                        PC    ATT1700000000016480
P20192389400015408826         GERDAU ARAME GALV 18                              KG    ATF0000000000001299
P20192389400015408827         GERDAU BARRA QUADRADA 5/16                        PC    ATT1700000000001870
P20192389400015408828         ACO CEARENSE TUBO INDUSTRIAL 1.1/4 X 1.50         M     ATT1700000000000610
P20192389400015408829         ACO CEARENSE TUBO INDUSTRIAL 1 X 1.50             M     ATT1700000000000475
P20192389400015408830         GEPETEC ROLDANA ACO 3 V                           PC    ATT1700000000001730
P20192389400015408831         THINER ANJO 500ML  1/2 LITRO                      LT    ATT1700000000000599
P20192389400015408231         CBA PERFIL AL LIGA 6060 L-0046 FOSCO (CANTONEIRA  M     ATT1700000000000670
P20192389400015408309         CBA PERFIL AL LIGA 6060 N-2548 /L                 M     ATT1700000000003065
P20192389400015408238         CBA PERFIL AL LIGA 6060 E-1613 / FOSCO            M     ATT1700000000000520
P20192389400015408239         CBA PERFIL AL LIGA 6060 N-1615 / PRETO            UNI   ATT1700000000001610
P20192389400015408233         CBA PERFIL AL LIGA 6060 E-709/PRET/BAGUETE        M     ATT1700000000000310
P20192389400015408232         CBA PERFIL AL LIGA 6060 E-0656 / PRETO            M     ATT1700000000000550
P20192389400015408226         CBA PERFIL AL LIGA 6060 N-0717 / PRETO            M     ATT1700000000002050
P20192389400015408227         CBA PERFIL AL LIGA 6060 L-0031                    M     ATT1700000000002199
P20192389400015408832         ACO CEARENSE METALON 60 X 60 1.50                 PC    ATT1700000000009000
P20192389400015408833         ACO CEARENSE CHAPA GALVANIZADA 24 2 X 1           PC    ATT1700000000005999
P20192389400015408834         LINCOLN ELETRODO 2.50 6013                        KG    ATF0000000000001650
P20192389400015408516         ALIANCA FECHADURA F-2400                          UN    ATT1700000000002760
P20192389400015408515         CBA PERFIL AL LIGA 6060 N-2124                    M     ATT1700000000001350
P20192389400015408546         CBA PERF AL LIGA 6063 N-1700 FOSCO LAMB.AMAZONAS  M     ATT1700000000002299
P20192389400015408490         CBA PERFIL AL LIGA 6060 E-0659                    M     ATT1700000000001940
P20192389400015408260         CBA PERFIL AL LIGA 6260 R-0001                    M     ATT1700000000000125
P20192389400015408323         GERDAU ESTRIBO VERGALHAO ACO 4.2 17X17            PC    ATF0000000000000053
P20192389400015408336         PARAFUSO 4,2X16  8 X 3/4 BELENUS                  UN    ATF0000000000000005
P20192389400015408337         PARAFUSO FEN MD 4,2X25 8X1 BELENUS                UN    ATF0000000000000006
P20192389400015408165         PARAFUSO 4,2X50                                   UN    ATF0000000000000010
P20192389400015408648         PARAFUSO FEN MD CH 4.8 X 50MM 10X2                UN    ATF0000000000000016
P20192389400015408609         BUCHA P/ FIX 08                                   UN    ATF0000000000000015
P20192389400015408473         ACO CEARENSE TUBO INDUSTRIAL 1.1/4 X 2.00         M     ATT1700000000000795
P20192389400015408507         ACO CEARENSE PERFIL ENR 3 X 3,00 40MM             PC    ATT1700000000011270
P20192389400015408401         ACO CEARENSE PERFIL U 3 X 3.00MM                  M     ATT1700000000001280
P20192389400015408759         PARAFUSO FENDA 2.1/2X9                            UN    ATF0000000000000012
P20192389400015408198         AGROLAR TUBO ELETRO 1/2 X 2.00                    M     ATT1700000000000680
P20192389400015408197         CBA PERF AL LIGA 6060 U-0154 BZE GUIA SUP.        M     ATT1700000000001500
P20192389400015408196         GERDAU TUBO GALVANIZADO 1.1/4 X 2.65              M     ATT1700000000001500
P20192389400015408194         IQUINE THINER 1010 5L                             LT    ATT1700000000005399
P20192389400015408039         AGROLAR TUBO ELETRO 2.1/2 X 2.00                  M     ATT1700000000002750
P20192389400015408066         ALIANCA FECHADURA F-1440                          UN    ATT1700000000001500
P20192389400015408664         MAO DE OBRA                                       UN    ATT1700000000002000
P20192389400015408083         PARAFUSO 4.2X38 1.1/2X8 BELENUS                   PC    ATF0000000000000011
P20192389400015408078         GERDAU CANTONEIRA 1.1/4 X 1/4                     PC    ATT1700000000007460
P20192389400015408837         CBA PERFIL AL LIGA 6060 N-0679                    M     ATT1700000000001940
P20192389400015408838         CBA PERFIL AL LIGA 6060 N-1819                    M     ATT1700000000002800
P20192389400015408839         CBA PERFIL AL LIGA 6060 N-0731                    M     ATT1700000000000900
P20192389400015408840         CBA PERFIL AL LIGA 6060 N-0983                    M     ATT1700000000001980
P20192389400015408841         STAM FECHADURA TETRA 1201                         UNI   ATF0000000000002900
P20192389400015408842         ACO CEARENSE GRAMPO PEGA LALAU                    KG    ATT1700000000000350
P20192389400015408844         ACO CEARENSE METALON GALV 20 X 20 0.95            PC    ATT1700000000002240
P20192389400015408845         ACO CEARENSE METALON GALV 25 X 25 0.95            PC    ATT1700000000002770
P20192389400015408846         ACO CEARENSE METALON GALV 30 X 20 0.95            PC    ATT1700000000003190
P20192389400015408847         ACO CEARENSE METALON GALV 40 X 20 0.95            PC    ATT1700000000003350
P20192389400015408848         ACO CEARENSE PERFIL ENC 2.00 68X30MM              PC    ATT1700000000005180
P20192389400015408849         ACO CEARENSE PERFIL U 4 X 3.00MM                  M     ATT1700000000001700
P2019238940001548381          THINER 900ML 1LITRO                               UNI   ATT1700000000001500
P20192389400015408852         CONSERTO PORTAO                                   UN    ATT1700000000005000
P20192389400015408853         JARDIN DE INVERNO 1.49 X 2.10                     PC    ATT1700000000109500
P20192389400015408854         STAM FECHADURA 601/7                              UNI   ATF0000000000004999
P20192389400015408855         STAM FECHADURA DE SOBRE POR 701/100               UN    ATF0000000000003600
P20192389400015408856         CORREMAO FOSCO 6 MTS C/ 6 SUPORTE 8 TAMPAS        PC    ATT1700000000011680
P20192389400015408857         ACO CEARENSE TUBO INDUSTRIAL 4-2.00               M     ATT1700000000002540
P20192389400015408858         REBITE REP AL 3/16X5/8 516 5X16MM                 UN    ATT1700000000000012
P20192389400015408859         BOX L25 1.60 X 1.80 REVOADA CRISTAL               UN    ATT1700000000033000
P20192389400015408862         ALIANCA FECHADURA EXT 4600/70                     PC    ATT1700000000002699
P20192389400015408864         CBA PERFIL AL LIGA 6060-T5 R004                   M     ATT1700000000000355
P20192389400015408865         CBA PERFIL AL LIGA 6060 N-1090                    M     ATT1700000000001600
P20192389400015408866         PARAFUSO PANELA 4.8X19 3/4X10                     PC    ATF0000000000000010
P20192389400015408867         ACO CEARENSE PERFIL U 6 X 3.00MM                  M     ATT1700000000002310
P20192389400015408869         POLIEST LISO 2.00X1.00 3MM CRISTAL                PC    ATT1700000000013500
P20192389400015408870         CBA PERFIL AL LIGA 6060 R-0036                    M     ATT1700000000000600
P20192389400015408871         GERDAU MALHA POP REFORCADA 2.00X3.00              PC    ATF0000000000006410
P20192389400015408872         ACO CEARENSE CHAPA PRETA 5/16 2X1.00              PC    ATT1700000000053000
P20192389400015408873         CHAPA DE AL LISA 2 X 1 X 1.00MM                   PC    ATT1700000000015599
P20192389400015408874         METALIS CHAPA DE AL LISA 2 X 1 X 0.80MM           PC    ATT1700000000009700
P20192389400015408875         ACO CEARENSE TUBO INDUSTRIAL 1.1/2 X 1.50         M     ATT1700000000000740
P20192389400015408876         AGROLAR TUBO ELETRO 1.1/2 X 2.00                  M     ATT1700000000001740
P20192389400015408877         J 1.20  X 0.80 C/VD FUM                           PC    ATT1700000000025000
P20192389400015408879         BOCA DE LOBO BRONZE 1.05 X 0.29                   PC    ATT1700000000006900
P20192389400015408881         MÃO DE OBRA                                       PC    ATT1700000000002000
P20192389400015408882         GERDAU PREGO CC TELHEIRO 2.1/2X10                 KG    ATF0000000000002040
P20192389400015408883         BOCA DE LOBO BRONZE 2.00 X 0.30                   UN    ATT1700000000013200
P20192389400015408884         FIXO 1.70 X 2.10 VD FUME                          UN    ATT1700000000112400
P20192389400015408886         GERDAU BARRA CHATA 1 X 3/8                        PC    ATT1700000000007558
P20192389400015408888         REBITOP REBITE 310 PRETO                          UNI   ATT1700000000000005
P20192389400015408889         REBITOP REBITE 412 PRETO                          UNI   ATT1700000000000010
P20192389400015408890         REBITOP REBITE 512 PRETO                          UNI   ATF0000000000000007
P20192389400015408891         FIXO 80 X 30 C/VD INCOLOR                         PC    ATT1700000000004900
P20192389400015408892         VIDRO P CENTRO                                    PC    ATT1700000000001500
P20192389400015408893         BOCA DE LOBO 0,60 X 0,50                          PC    ATT1700000000006000
P20192389400015408894         ACO CEARENSE METALON 40 X 30 0.90                 PC    ATT1700000000003450
P20192389400015408895         B MAO DE OBRA                                     PC    ATT1700000000007000
P20192389400015408896         BALCAO MODULADOL                                  PC    ATT1700000000027200
P20192389400015408897         GERDAU MALHA POP LEVE 2 X 3M                      PC    ATF0000000000003195
P20192389400015408898         ACO CEARENSE PERFIL U 4 X 2.25MM                  M     ATT1700000000001150
P20192389400015408899         SUPORTE TRILHO DE CORTINA                         PC    ATT1700000000000075
P20192389400015408900         GEPETEC ROLDANA ACO 3.1/8 V                       PC    ATT1700000000002030
P20192389400015408901         GEPETEC ROLDANA ACO 4 V C/CAV.                    PC    ATT1700000000004137
P20192389400015408902         POLIEST ANDORINHA FUME                            PC    ATT1700000000005550
P20192389400015408903         POLIEST ANDORINHA CARAMELO                        PC    ATT1700000000005550
P20192389400015408904         AGROLAR TUBO ELETRO GALV.3X2.25                   M     ATT1700000000002630
P20192389400015408906         TUPY UNIAO FEMEA GALV.3/4 JUNTA VEDACAO           PC    ATT1700000000002089
P20192389400015408907         TUPY UNIAO FEMEA GALV. 1 JUNTA VEDACAO            PC    ATT1700000000001580
P20192389400015408908         GERDAU CANTONEIRA 4 X 3/8                         PC    ATT1700000000059600
P20192389400015408909         ALCAR DISCO CORTE 4.1/2                           PC    ATT1700000000000170
P20192389400015408910         ALCAR DISCO DESBASTE 4.1/2                        PC    ATT1700000000000225
P20192389400015408911         ALCAR DISCO CORTE 10                              PC    ATT1700000000000690
P20192389400015408912         ALCAR DISCO CORTE 12                              PC    ATT1700000000000670
P20192389400015408913         ALCAR DISCO CORTE 7                               PC    ATT1700000000000270
P20192389400015408914         ALCAR DISCO DESBASTE 7                            PC    ATT1700000000000480
P20192389400015408915         TUPAN REDUCAO 2 X 1.1/2                           PC    ATT1700000000001095
P20192389400015408917         TUPAN UNIAO 2                                     PC    ATT1700000000002960
P20192389400015408918         GERDAU PREGO CC 8X7-5/8 X 18                      PC    ATF0000000000001740
P20192389400015408919         GERDAU PREGO CC 13X18-1.1/2 X 15                  KG    ATF0000000000001100
P20192389400015408920         GERDAU PREGO CC 16X21 - 2X12                      KG    ATF0000000000000850
P20192389400015408922         COLORMAX ZARCAO CINZA GRAFITE 900ML               LT    ATT1700000000000565
P20192389400015408923         COLORMAX ZARCAO VERMELHO 900ML                    LT    ATT1700000000000620
P20192389400015408924         COLORMAX ZARCAO CINZA 3.6 GL                      GL    ATT1700000000001380
P20192389400015408925         COLORMAX ZARCAO VERMELHO 3.6 GL                   GL    ATT1700000000002000
P20192389400015408926         COLORMAX ZARCAO CINZA 18 LT                       LT    ATT1700000000003235
P20192389400015408927         COLORMAX ZARCAO VERMELHO 18 LT                    LT    ATT1700000000003575
P20192389400015408929         GERDAU ELETRODO 4.00 MM                           KG    ATF0000000000001070
P20192389400015408930         CBA PERFIL LIGA 6060-T5 N-1014                    M     ATT1700000000000630
P20192389400015408931         CBA PERFIL LIGA 6060-T5 N-0760                    M     ATT1700000000000290
P20192389400015408932         GERDAU PREGO CC 14 X 15-1.1/4X14                  KG    ATF0000000000001045
P20192389400015408933         CBA PERF AL LIGA 6060-T5 N-3186/LAMB.FOSCO 18CM   M     ATT1700000000002630
P20192389400015408934         ACO CEARENSE CHAPA ROLO 28 1.20MT                 KG    ATT1700000000000605
P20192389400015408935         ACO CEARENSE CHAPA PRETA 13 2 X 1.20              PC    ATT1700000000017400
P20192389400015408936         CBA PERFIL AL LIGA N-1101 PRETO                   M     ATT1700000000001160
P20192389400015408937         CBA PERFIL AL LIGA 6060-T5 N-3185 BRONZE          M     ATT1700000000003000
P20192389400015408938         CBA PERF AL LIGA 6060-T5 N-3186 LAMB.BZE 18CM     M     ATT1700000000002785
P20192389400015408939         CBA PERF AL LIGA 6060-T5 K-0035 TUB.RET.1X1/2FOSCOM     ATT1700000000001299
P20192389400015408940         VITRINE C VD 4MM                                  PC    ATT1700000000038400
P20192389400015408942         FIXO BOX                                          PC    ATT1700000000005500
P20192389400015408943         ELETRODO OK SERRALHEIRO 3.25                      KG    ATF0000000000001570
P20192389400015408944         ELETRODO OK SERRALHEIRO 2.50                      KG    ATF0000000000001399
P20192389400015408945         ACO CEARENSE CHAPA GALVANIZADA 18 2 X 1.20        PC    ATT1700000000014700
P20192389400015408946         CBA PERFIL AL LIGA 6060 E-4443 NATURAL            M     ATT1700000000002080
P20192389400015408948         CBA PERFIL AL LIGA 6060 R-0035                    M     ATT1700000000000570
P20192389400015408947         PROMEL PIVO 1/4                                   PC    ATT1700000000000010
P20192389400015408949         CBA PERFIL AL LIGA 6060 E-4443                    M     ATT1700000000002100
P20192389400015408950         BANDEIRANTES VIDRO INCOLOR 02MM 1,60X2,20MM       M2    ATF0000000000003546
P20192389400015408951         BANDEIRANTES VIDRO INCOLOR 03MM 3,21X2,25MM       M2    ATF0000000000003910
P20192389400015408952         BANDEIRANTES VIDRO INCOLOR 04MM 3.21X2.20MM       M2    ATF0000000000006899
P20192389400015408953         BANDEIRANTES VIDRO FUME 03MM 3,21X2,20MM          M2    ATF0000000000004960
P20192389400015408954         BANDEIRANTES VIDRO FUME 04MM 3,21X2,20MM          M2    ATF0000000000010650
P20192389400015408955         BANDEIRANTES VIDRO FUME 05MM 3,21X2,40MM          M2    ATF0000000000006800
P20192389400015408956         BANDEIRANTES ESPELHO CRISTAL 02MM (MIRAGE)        M2    ATF0000000000009999
P20192389400015408957         BANDEIRANTES ESPELHO CRISTAL 03MM (MIRAGE)        M2    ATF0000000000011099
P20192389400015408958         BANDEIRANTES VIDRO CANELADO INCOLOR 3/4MM         M2    ATF0000000000005999
P20192389400015408959         BANDEIRANTES VIDRO TEOREMA INCOLOR 3/4MM          M2    ATF0000000000008100
P20192389400015408960         BANDEIRANTES JOGOS DE ACESSORIOS AF13 A.FRIZAL    UNI   ATT1700000000000250
P20192389400015408961         BANDEIRANTES PERFIL QUADRO INCOLOR C/220CM        M     ATT1700000000000505
P20192389400015408962         BANDEIRANTES PERFIL QUADRO OURO C/220MM           M     ATT1700000000000610
P20192389400015408963         BANDEIRANTES GUARNICAO ENGATE DA FOLHA 003        M     ATT1700000000000100
P20192389400015408964         BANDEIRANTES GUARNICAO PVC P/BOX QD PRETA         KG    ATT1700000000001540
P20192389400015408966         BANDEIRANTES VIDRO MINI-BOREAL 2,20X1,70MM        M2    ATF0000000000006299
P20192389400015408972         BRASKORT DISCO DESBASTE 4.1/2X1/4                 PC    ATT1700000000000360
P20192389400015408973         BRASKORT DISCO CORTE 7.1/8X7/8                    PC    ATT1700000000000410
P20192389400015408974         BRASKORT REBOLO 6.3/4X1.1/4                       PC    ATT1700000000001200
P20192389400015408975         GERDAU BARRA CHATA 2.1/2 X 3/8                    M     ATT1700000000002770
P20192389400015408976         BANDEIRANTES BOTAO ROSCA INTERNO                  PC    ATT1700000000000250
P20192389400015408977         BANDEIRANTES BOTAO FRANCES                        PC    ATT1700000000000290
P20192389400015408978         BANDEIRANTES SUPORTE FENDA 6MM                    PC    ATT1700000000000220
P20192389400015408979         BANDEIRANTES SUPORTE FENDA 8MM                    PC    ATT1700000000000220
P20192389400015408980         BANDEIRANTES SUPORTE CREMALH 30CM                 PC    ATT1700000000000350
P20192389400015408981         BANDEIRANTES SUPORTE CREMALH 25CM                 PC    ATT1700000000000330
P20192389400015408982         BANDEIRANTES BARRA CREMALHEIRA                    M     ATT1700000000000990
P20192389400015408983         CBA PERF AL LIGA 6060 E-1613 ANOD.NAT.VENEZIANA   M     ATT1700000000000799
P20192389400015408984         CBA PERFIL AL LIGA 6060 E-0656 ANODIZADO BRONZE   M     ATT1700000000000699
P20192389400015408985         BANDEIRANTES VIDRO INCOLOR 6MM 3.21X2.20MM        M2    ATF0000000000010650
P20192389400015408986         BANDEIRANTES VIDRO INCOLOR 8MM 3.21X2.20MM        M2    ATF0000000000010690
P20192389400015408988         ACO CEARENSE TUBO PATENTE GALV 2 X 1.55           M     ATT1700000000001430
P2019238940001548245          SOPRANO FECHADURA P/PORTA DE ROLO 220             UNI   ATF0000000000002299
P20192389400015408990         GERDAU TRELICA TG8L 6/4.2/4.2  8M                 PC    ATF0000000000003410
P20192389400015408991         ACO CEARENSE CHAPA PRETA 18 2 X 1.20              PC    ATT1700000000011490
P20192389400015408992         CHAPA ROLO 1200-H14 700X0.50/CBA                  KG    ATT1700000000002340
P20192389400015408993         TUPAN CUMEEIRA NORMAL 1.10M                       UN    ATT1700000000004500
P20192389400015408994         TUPY UNIAO FEMEA GALV. 1/2 JUNTA VEDACAO          PC    ATT1700000000001050
P20192389400015408995         TUPY UNIAO FEMEA GALV. 1.1/2 JUNTA VEDACAO        PC    ATT1700000000002890
P20192389400015408996         TUPAN PLUG GALVANIZADO 1.1/4                      PC    ATT1700000000000250
P20192389400015408997         TUPAN PLUG GALVANIZADO 2                          PC    ATT1700000000000720
P20192389400015408998         ACO CEARENSE PERFIL ENC 2.00 93X30MM              PC    ATT1700000000006360
P20192389400015408999         PET AMAZONAS FUME 0.98 X 1.80                     UN    ATT7000000000003699
P20192389400015409000         PET MONOCRIL FUME 0.98 X 1.80                     UN    ATT7000000000003699
P20192389400015409001         PET REVOADA FUME 0.98 X 1.80                      UN    ATT7000000000003699
P20192389400015409002         PET PANTANAL FUME 0.98 X 1.80                     UN    ATT7000000000003699
P20192389400015409003         PET NIAGARA FUME 0.98 X 1.80                      UN    ATT7000000000003590
P20192389400015409004         PET CANELADA FUME 0.98 X 1.80                     UN    ATT1700000000003590
P20192389400015409005         PET LISA FUME 0.98 X 1.80                         UN    ATT1700000000005590
P20192389400015409006         PET AMAZONAS OURO 0.98 X 1.80                     UN    ATT1700000000003590
P20192389400015409007         PET LISA CRISTAL 0.98 X 1.80                      UN    ATT1700000000005590
P20192389400015409008         PET LEITOSA 1.5MM 1.00 X 2.00                     UN    ATT1700000000005590
P20192389400015409009         PET MONOCRIL FUME 0.88 X 2.50                     UN    ATT1700000000005550
P20192389400015409011         GERDAU BARRA CHATA 1 X 5/16                       PC    ATT1700000000005780
P20192389400015409012         BANDEIRANTES VIDRO MOVEL FUME 4MM 2.20X1.70       M2    ATF0000000000017599
P20192389400015409013         JOGO P/ VITRINE                                   JG    ATT1700000000001100
P20192389400015409014         BANDEIRANTES VIDRO JATEADO 4MM                    M2    ATF0000000000008600
P20192389400015409015         TUPAN BROCA ACO 1/8                               PC    ATT1700000000000170
P20192389400015409016         TUPAN BROCA ACO 5/32                              PC    ATT1700000000000210
P20192389400015409017         TUPAN BROCA ACO 3/16                              PC    ATT1700000000000260
P20192389400015409018         TUPAN ALICATE REBITADOR MANUAL 4MM                PC    ATT1700000000001380
P20192389400015409019         TUPAN LUVA MISTA VAQUETA-LONA                     PC    ATT1700000000000660
P20192389400015409020         TUPAN LUVA DE MALHA MESCLADA                      PAR   ATT1700000000000200
P20192389400015409021         GEPETEC ROLDANA ACO 2.1/2 V C/CAV                 PC    ATT1700000000001934
P20192389400015409022         GEPETEC ROLDANA LATAO 2.1/2                       PC    ATT1700000000003680
P20192389400015409023         GEPETEC ESTANLEY ACO 4 RODAS 1.1/2                PC    ATT1700000000002070
P20192389400015409024         GEPETEC ROLDANA ACO 1.1/2 C/CAV C/ROL             PC    ATT1700000000001499
P20192389400015409025         CBA PERFIL AL LIGA 6060 N-1961 - PRETO            M     ATT1700000000000980
P20192389400015409026         CBA PERFIL AL LIGA 6060 N-1958 - PRETO            M     ATT1700000000001190
P20192389400015409027         CBA PERFIL AL LIGA 6060 N-1959 - PRETO            M     ATT1700000000001230
P20192389400015409028         CBA PERFIL AL LIGA 6060 N-1960 - PRETO            M     ATT1700000000001050
P20192389400015409029         CBA PERFIL AL LIGA 6060 N-2123 - PRETO            M     ATT1700000000000860
P20192389400015409030         CBA PERFIL AL LIGA 6060 N-2121 - PRETO            M     ATT1700000000000680
P20192389400015409031         CBA PERFIL AL LIGA 6060 R-0018 - PRETO            M     ATT1700000000000375
P20192389400015409032         CBA PERFIL AL LIGA 6060 N-0320 - PRETO            M     ATT1700000000000300
P20192389400015409033         CBA PERFIL AL LIGA 6060 E-0946 - PRETO            M     ATT1700000000000625
P20192389400015409034         CBA PERF AL LIGA 6060 E 0691/PRETO/TRILHO         M     ATT1700000000000400
P20192389400015409035         GERDAU PREGO CC 14X18-1.1/2 X 14                  KG    ATF0000000000000825
P20192389400015409036         GERDAU PREGO CC 14X21-2 X 14                      KG    ATF0000000000001070
P20192389400015409037         GERDAU PREGO CC 15X15-1.1/4 X 13                  KG    ATF0000000000000860
P20192389400015409038         GERDAU PREGO CC 15X21-2 X 13                      KG    ATF0000000000000975
P20192389400015409039         GERDAU PREGO CC 16X18 - 1.1/2 X 12                KG    ATF0000000000000770
P20192389400015409040         TIJOLOS SERTANIA 6 FUROS                          UNI   ATT1700000000022500
P20192389400015409041         BANDEIRANTES CONECTIVO MODULADO 1                 UN    ATT1700000000000050
P20192389400015409042         BANDEIRANTES CONECTIVO MODULADO 2                 UN    ATT1700000000000050
P20192389400015409043         BANDEIRANTES CONECTIVO MODULADO 6                 UN    ATT1700000000000050
P20192389400015409044         BANDEIRANTES CONECTIVO MODULADO 4                 UN    ATT1700000000000050
P20192389400015409045         BANDEIRANTES CONECTIVO MODULADO 5                 UN    ATT1700000000000050
