U169915536000133018911978     4650          JUAREZ DE OLIVEIRA ME                             
P2699155360001331237          CAPACITOR PARTIDA MINI 110/220VCA 270-324UF       UNI   ATT1700000000002420
P2699155360001331238          FORRAGEIRA GT2000LDF GARTHEN                      UNI   ATT1700000000135500
P2699155360001331239          PLATINADO NEMA 48 WEG                             UNI   ATT1700000000002500
P2699155360001331240          PLATINADO NEMA 56H WEG                            UNI   ATT1700000000002500
P2699155360001331241          CAPACITOR PARTIDA MINI 110/120VCA 340-408UF       UNI   ATT1700000000002640
P2699155360001331242          PLATINADO NEMA 56 WEG                             UNI   ATT1700000000002500
P2699155360001333011          ITEM EXCLUIDO-REPETIDO                            UNI   ATT1700000000001000
P2699155360001331244          PLATINADO NEMA 42 WEG                             UNI   ATT1700000000002500
P2699155360001331303          BASE ELETRICA NOGUEIRA                            UNI   ATT1700000000044000
P2699155360001331246          CAPACITOR PERMANENTE 250VCA 3UF                   UNI   ATT1700000000000900
P2699155360001331247          CAPACITOR PERMANENTE 250VCA 10UF                  UNI   ATT1700000000001000
P2699155360001331274          CABO PP 4 X 2.5MM                                 M     ATF0000000000000710
P2699155360001331249          CAPACITOR PERMANENTE 250VCA 20UF                  UNI   ATT1700000000002240
P2699155360001331250          CAPACITOR PERMANENTE 250VCA 25UF                  UNI   ATT1700000000002600
P2699155360001334023          LAMINA SERRA AÇO                                  UNI   ATT1700000000000600
P2699155360001331251          CAPACITOR PERMANENTE 250VCA 30UF                  UNI   ATT1700000000002800
P2699155360001331252          CAPACITOR PERMANENTE 250VCA 35UF                  UNI   ATT1700000000003240
P2699155360001331253          CAPACITOR PERMANENTE 250VCA 40UF                  UNI   ATT1700000000003440
P2699155360001331254          CAPACITOR PERMANENTE 250VCA 45UF                  UNI   ATT1700000000003740
P2699155360001331255          ENGENHO DE CANA C105 CAMARGO                      UNI   ATT1700000000094600
P2699155360001334009          CHAVE PART.ESTRELA/TRIÂNGULO 25V25A 40V           UNI   ATT1700000000121000
P2699155360001332474          ROÇADEIRA STIHL FS 250 DM 250-3                   UNI   ATT1700000000238500
P2699155360001331257          GARAPEIRA LUXO INOX CROMO 200 CAMARGO             UNI   ATT1700000000279900
P2699155360001331258          BUCHA RED. ROSC. 3/4" X 1/2" KRONA                UNI   ATF0000000000000100
P2699155360001331259          CABO PP 2 X 4.0MM                                 M     ATF0000000000000560
P2699155360001331260          CABO PP 2 X 6.0MM                                 M     ATF0000000000000900
P2699155360001331261          CABO PP 3 X 1.0MM                                 M     ATF0000000000000250
P2699155360001331262          COMPRESSOR 250L 20PCM  PRESSURE                   UNI   ATT1700000000396012
P2699155360001331263          CABO PP 3 X 1.5MM                                 M     ATF0000000000000330
P2699155360001331264          CABO PP 3 X 2.5MM                                 M     ATF0000000000000600
P2699155360001331265          COMPRESSOR 100L 5.2PCM AR TS  PRESSURE ATG2       UNI   ATT1700000000164000
P2699155360001331266          CABO PP 3 X 4.0MM                                 M     ATF0000000000000850
P2699155360001331268          CABO PP 3 X 6.0MM                                 M     ATF0000000000001250
P2699155360001331267          JOELHO SOLD LR AZUL 20  KRONA                     UNI   ATT1700000000000045
P2699155360001331269          CABO PP 3 X 10.0MM                                M     ATF0000000000002300
P2699155360001333545          COMPRESSOR 50L 2.6PCM  PRESSURE                   UNI   ATT1700000000185000
P2699155360001331271          JOELHO SOLD LR AZUL 3/4  KRONA                    UNI   ATT1700000000000075
P2699155360001331272          CABO PP 4 X 4.0MM                                 M     ATF0000000000001150
P2699155360001331273          COMPRESSOR 25L 7.8PCM  PRESSURE                   UNI   ATT1700000000052999
P2699155360001331275          VENTOINHA WEG NEMA 48                             UNI   ATT1700000000001500
P2699155360001331276          VENTOINHA WEG NEMA 42 C/ COPO                     UNI   ATT1700000000002000
P2699155360001331277          VENTOINHA WEG EX 616                              UNI   ATT1700000000001500
P2699155360001331278          VENTOINHA WEG NEMA 56 FURO 21.5                   UNI   ATT1700000000001500
P2699155360001331381          REBOBINAMENTO 150CV 2P TRIFASICO                  UNI   ATT1700000000533900
P2699155360001331279          ASPIRADOR NT 361 ECO 220/60HZ  KARCHER            UNI   ATT1700000000199305
P2699155360001331280          VENTOINHA VOGES NEMA 48                           M     ATT1700000000001500
P2699155360001331281          VENTOINHA VOGES NEMA 56                           M     ATT1700000000002000
P2699155360001331282          ASPIRADOR JACTO AJ 3627                           UNI   ATT1700000000138500
P2699155360001331283          VENTOINHA WEG 112 2P                              UNI   ATT1700000000001800
P2699155360001331284          VENTOINHA WEG 112 4P                              UNI   ATT1700000000002500
P2699155360001331285          CARABINA PRESSAO 5.5  MONT STAND GII C/ LUNETA    UNI   ATT1700000000118003
P2699155360001331286          ASPIRADOR WAP GT PROFI.  20LITROS                 UNI   ATT1700000000035500
P2699155360001331287          VENTOINHA WEG 132 4P                              UNI   ATT1700000000002500
P2699155360001331288          GRAXEIRO LUB 400 LUMAGI                           UNI   ATT1700000000021300
P2699155360001331289          GRAXEIRO LUB 50 LUMAGI                            UNI   ATT1700000000008460
P2699155360001331290          GRAXEIRO LUB 402 LUMAGI                           UNI   ATT1700000000019200
P2699155360001331291          GRAXEIRO LUB 660 LUMAGI                           UNI   ATT1700000000028050
P2699155360001331292          GRAXEIRO LUB 2002 LUMAGI                          UNI   ATT1700000000044550
P2699155360001331293          MAQUINA DE SOLDA SUPER 180 BALMER                 UNI   ATT1700000000049300
P2699155360001331294          MAQUINA DE SOLDA SUPER 260 BALMER                 UNI   ATT1700000000056700
P2699155360001331295          MAQUINA DE SOLDA SUPER 300 TURBO BALMER           UNI   ATT1700000000135500
P2699155360001331296          MAQUINA DE SOLDA BR 425 PROFISS. BALMER           UNI   ATT1700000000349500
P2699155360001331297          CARABINA PRESSAO 5.5  NITRO 1000 OX PP            UNI   ATT1700000000162200
P2699155360001331709          BORRACHA DE VEDAÇÃO  2                            UNI   ATT1700000000000210
P2699155360001331298          CARABINA PRESSAO 4.5 NITRO 1300 OXPP              UNI   ATT1700000000145704
P2699155360001331299          CARABINA PRESSAO 5.5 NITRO 800 OXPP               UNI   ATT1700000000120504
P2699155360001331300          CAPACITOR PERMANENTE 250VCA 15UF                  UNI   ATT1700000000001720
P2699155360001331301          ESGUICHO REGULAVEL LONGO 1/2"                     UNI   ATT1700000000003500
P2699155360001334057          SINO AFASTADOR DE AREIA OP4                       UNI   ATT1700000000000500
P2699155360001331776          CHAVE CS-301A                                     UNI   ATT1700000000002700
P2699155360001331693          FUSIVEL WEG NH00 125A 500V                        CJ    ATT1700000000001600
P2699155360001331694          PONTA AZUL MACHO 3" INJETPLAS                     UNI   ATF0000000000001250
P2699155360001331695          FUSIVEL WEG NH1 50A 500V                          CJ    ATT1700000000002195
P2699155360001331308          CABO FLEXIVEL 1 X 6.0MM                           M     ATF0000000000000295
P2699155360001331305          MANGUEIRA CRISTAL 1/2" X 1.5MM                    M     ATT1700000000000120
P2699155360001331306          PULVERIZADOR HS-30 YAMAHO - CONJUNTO              UNI   ATT1700000000149500
P2699155360001331309          CABO FLEXIVEL 1 X 10.0MM                          M     ATF0000000000000610
P2699155360001331310          MANGUEIRA AZUL DE ALTA PRESSÃO 1/2 ( LAVA-JATO)   M     ATT1700000000001750
P2699155360001331311          CABO PP 2 X 1.5MM                                 M     ATF0000000000000230
P2699155360001331312          CABO PP 2 X 2.5MM                                 M     ATF0000000000000360
P2699155360001331314          CAP SOLD 40MM  KRONA                              UNI   ATT1700000000000180
P2699155360001331315          CAP SOLD 25MM  KRONA                              UNI   ATF0000000000000060
P2699155360001331316          MANGUEIRA DE AR 3/8 X 500 KANAFLEX                M     ATT1700000000000480
P2699155360001331317          MANGUEIRA DE AR AGUA 1/2" X 500 KANAFLEX          M     ATT1700000000000650
P2699155360001331318          MANGUEIRA DE AR 5/16 X 500 KANAFLEX               M     ATT1700000000000420
P2699155360001334046          FORRAGEIRA CONJUGADA MC-1001R LABOREMUS           UNI   ATT1700000000299500
P2699155360001331319          MANGUEIRA DE AR 1/4 X 450 KANAFLEX                M     ATT1700000000000420
P2699155360001331320          VENTOINHA WEG NEMA 48 C/ ARRUELA                  UNI   ATT1700000000001700
P2699155360001331321          VENTOINHA WEG NEMA 184 C/ ARRUELA                 UNI   ATT1700000000002500
P2699155360001331322          VENTOINHA WEG NEMA 48 C/ COPO                     UNI   ATT1700000000002000
P2699155360001331323          VENTOINHA WEG 132 2P                              UNI   ATT1700000000002000
P2699155360001331324          VENTOINHA WEG 100 4P                              UNI   ATT1700000000001500
P2699155360001331325          VENTOINHA WEG PRETA 90                            UNI   ATT1700000000002000
P2699155360001331329          VENTOINHA WEG  160 2P                             UNI   ATT1700000000003000
P2699155360001331330          VENTOINHA WEG 180 2P                              UNI   ATT1700000000005000
P2699155360001331331          VENTOINHA VOGES 132 2P F. PEQ.                    UNI   ATT1700000000002500
P2699155360001331332          VENTOINHA VOGES 132 4P F. PEQ.                    UNI   ATT1700000000003600
P2699155360001331333          VENTOINHA VOGES 112 4P F. PEQ.                    UNI   ATT1700000000002200
P2699155360001331334          VENTOINHA VOGES 112 2P F. PEQ.                    UNI   ATT1700000000002000
P2699155360001331335          VENTOINHA VOGES 100 4P F. PEQ                     UNI   ATT1700000000001700
P2699155360001331336          VENTOINHA VOGES 100 2P F. GDE.                    UNI   ATT1700000000001500
P2699155360001331338          VENTOINHA WEG  112 4P                             UNI   ATT1700000000001860
P2699155360001331339          VENTOINHA WEG  63 4P                              UNI   ATT1700000000000800
P2699155360001331340          VENTOINHA WEG  71 4P                              UNI   ATT1700000000000800
P2699155360001331341          VENTOINHA VOGES  56                               UNI   ATT1700000000001500
P2699155360001331342          VENTOINHA VOGES 71/2                              UNI   ATT1700000000001000
P2699155360001331343          VENTOINHA WEG  180 2P                             UNI   ATT1700000000004500
P2699155360001334021          BOMBA SCHNEIDER SUB7 13 EST. TRIF.                UNI   ATF0000000000165000
P2699155360001331344          VENTOINHA WEG  200-324/6T                         UNI   ATT1700000000007000
P2699155360001331349          LIMA REDONDA 5.5 X 200 STIHL                      UNI   ATT1700000000000650
P2699155360001331350          LIMA CHATA 150X16X2,7 STHIL                       UNI   ATT1700000000001100
P2699155360001331810          ROLAMENTO NTN 6209                                UNI   ATT1700000000005000
P2699155360001331354          ABRAÇADEIRA 1.1/4" CH 32MM                        UNI   ATT1700000000000870
P2699155360001331356          REBOBINAMENTO 1/4CV 2P TRIFASICO                  UNI   ATT1700000000012550
P2699155360001331355          REBOBINAMENTO 1/6CV 2P TRIFASICO                  UNI   ATT1700000000012500
P2699155360001331357          REBOBINAMENTO 1/3CV 2P TRIFASICO                  UNI   ATT1700000000012700
P2699155360001331358          REBOBINAMENTO 1/2CV 2P TRIFASICO                  UNI   ATT1700000000012056
P2699155360001331359          REBOBINAMENTO 3/4CV 2P TRIFASICO                  UNI   ATT1700000000013550
P2699155360001331360          REBOBINAMENTO 1CV 2P TRIFASICO                    UNI   ATT1700000000014300
P2699155360001331361          REBOBINAMENTO 1.5CV 2P TRIFASICO                  UNI   ATT1700000000016800
P2699155360001331362          REBOBINAMENTO 2CV 2P TRIFASICO                    UNI   ATT1700000000018400
P2699155360001331363          REBOBINAMENTO 3CV 2P TRIFASICO                    UNI   ATT1700000000021100
P2699155360001331364          REBOBINAMENTO 4CV 2P TRIFASICO                    UNI   ATT1700000000023500
P2699155360001331365          REBOBINAMENTO 5CV 2P TRIFASICO                    UNI   ATT1700000000028700
P2699155360001331366          REBOBINAMENTO 6CV 2P TRIFASICO                    UNI   ATT1700000000033700
P2699155360001331367          REBOBINAMENTO 7.5CV 2P TRIFASICO                  UNI   ATT1700000000034900
P2699155360001331368          REBOBINAMENTO 10CV 2P TRIFASICO                   UNI   ATT1700000000044950
P2699155360001331369          REBOBINAMENTO 12.5CV 2P TRIFASICO                 UNI   ATT1700000000050000
P2699155360001331370          REBOBINAMENTO 15CV 2P TRIFASICO                   UNI   ATT1700000000056200
P2699155360001331371          REBOBINAMENTO 20CV 2P TRIFASICO                   UNI   ATT1700000000079700
P2699155360001331376          REBOBINAMENTO 60CV 2P TRIFASICO                   UNI   ATT1700000000266100
P2699155360001331377          REBOBINAMENTO 75CV 2P TRIFASICO                   UNI   ATT1700000000301200
P2699155360001331378          REBOBINAMENTO 100CV 2P TRIFASICO                  UNI   ATT1700000000340600
P2699155360001331379          REBOBINAMENTO 125CV 2P TRIFASICO                  UNI   ATT1700000000478700
P2699155360001331380          CARABINA PRESSAO 5.5  MONT STAND GII C/ BAND      UNI   ATT1700000000077000
P2699155360001331382          REBOBINAMENTO 1/6CV 4P TRIFASICO                  UNI   ATT1700000000012200
P2699155360001331383          REBOBINAMENTO 1/4CV 4P TRIFASICO                  UNI   ATT1700000000012300
P2699155360001331384          REBOBINAMENTO 1/3CV 4P TRIFASICO                  UNI   ATT1700000000012650
P2699155360001331385          REBOBINAMENTO 1/2CV 4P TRIFASICO                  UNI   ATT1700000000013300
P2699155360001331386          REBOBINAMENTO 3/4CV 4P TRIFASICO                  UNI   ATT1700000000015000
P2699155360001331387          REBOBINAMENTO 1CV 4P TRIFASICO                    UNI   ATT1700000000015000
P2699155360001331388          REBOBINAMENTO 1.5CV 4P TRIFASICO                  UNI   ATT1700000000016800
P2699155360001331389          REBOBINAMENTO 2CV 4P TRIFASICO                    UNI   ATT1700000000019300
P2699155360001331390          REBOBINAMENTO 3CV 4P TRIFASICO                    UNI   ATT1700000000022200
P2699155360001331391          REBOBINAMENTO 4CV 4P TRIFASICO                    UNI   ATT1700000000027900
P2699155360001331392          REBOBINAMENTO 5CV 4P TRIFASICO                    UNI   ATT1700000000029100
P2699155360001331393          REBOBINAMENTO 6CV 4P TRIFASICO                    UNI   ATT1700000000037800
P2699155360001331394          REBOBINAMENTO 7.5CV 4P TRIFASICO                  UNI   ATT1700000000040000
P2699155360001331395          REBOBINAMENTO 10CV 4P TRIFASICO                   UNI   ATT1700000000047000
P2699155360001331396          REBOBINAMENTO 12.5CV 4P TRIFASICO                 UNI   ATT1700000000053100
P2699155360001331397          REBOBINAMENTO 15CV 4P TRIFASICO                   UNI   ATT1700000000056600
P2699155360001331398          REBOBINAMENTO 20CV 4P TRIFASICO                   UNI   ATT1700000000078000
P2699155360001334020          MOTOR BOMBA 6.5 BUFFALO GASOLINA                  UNI   ATT1700000000138000
P2699155360001331399          REBOBINAMENTO 25CV 4P TRIFASICO                   UNI   ATT1700000000091300
P2699155360001331400          REBOBINAMENTO 30CV 4P TRIFASICO                   UNI   ATT1700000000123300
P2699155360001331401          REBOBINAMENTO 40CV 4P TRIFASICO                   UNI   ATT1700000000162100
P2699155360001331402          REBOBINAMENTO 50CV 4P TRIFASICO                   UNI   ATT1700000000179800
P2699155360001331403          REBOBINAMENTO 60CV 4P TRIFASICO                   UNI   ATT1700000000256300
P2699155360001331404          REBOBINAMENTO 75CV 4P TRIFASICO                   UNI   ATT1700000000284300
P2699155360001331405          REBOBINAMENTO 100CV 4P TRIFASICO                  UNI   ATT1700000000322600
P2699155360001331406          REBOBINAMENTO 125CV 4P TRIFASICO                  UNI   ATT1700000000461300
P2699155360001331407          REBOBINAMENTO 150CV 4P TRIFASICO                  UNI   ATT1700000000503100
P2699155360001331408          REBOBINAMENTO 1/6CV 6P TRIFASICO                  UNI   ATT1700000000013600
P2699155360001331409          REBOBINAMENTO 1/4CV 6P TRIFASICO                  UNI   ATT1700000000014250
P2699155360001331410          REBOBINAMENTO 1/3CV 6P TRIFASICO                  UNI   ATT1700000000016200
P2699155360001331411          REBOBINAMENTO 1/2CV 6P TRIFASICO                  UNI   ATT1700000000016100
P2699155360001331412          REBOBINAMENTO 3/4CV 6P TRIFASICO                  UNI   ATT1700000000018300
P2699155360001331413          REBOBINAMENTO 1CV 6P TRIFASICO                    UNI   ATT1700000000019500
P2699155360001331414          REBOBINAMENTO 1.5CV 6P TRIFASICO                  UNI   ATT1700000000020400
P2699155360001331415          REBOBINAMENTO 2CV 6P TRIFASICO                    UNI   ATT1700000000025150
P2699155360001331416          REBOBINAMENTO 3CV 6P TRIFASICO                    UNI   ATT1700000000027400
P2699155360001331417          REBOBINAMENTO 4CV 6P TRIFASICO                    UNI   ATT1700000000039200
P2699155360001331418          REBOBINAMENTO 5CV 6P TRIFASICO                    UNI   ATT1700000000043700
P2699155360001331419          REBOBINAMENTO 6CV 6P TRIFASICO                    UNI   ATT1700000000048500
P2699155360001331420          REBOBINAMENTO 7.5CV 6P TRIFASICO                  UNI   ATT1700000000052650
P2699155360001331421          REBOBINAMENTO 10CV 6P TRIFASICO                   UNI   ATT1700000000060000
P2699155360001331422          REBOBINAMENTO 12.5CV 6P TRIFASICO                 UNI   ATT1700000000079200
P2699155360001331423          REBOBINAMENTO 15CV 6P TRIFASICO                   UNI   ATT1700000000087500
P2699155360001331424          REBOBINAMENTO 20CV 6P TRIFASICO                   UNI   ATT1700000000102400
P2699155360001331425          REBOBINAMENTO 25CV 6P TRIFASICO                   UNI   ATT1700000000149050
P2699155360001331426          REBOBINAMENTO 30CV 6P TRIFASICO                   UNI   ATT1700000000169200
P2699155360001331427          REBOBINAMENTO 40CV 6P TRIFASICO                   UNI   ATT1700000000228900
P2699155360001331428          REBOBINAMENTO 50CV 6P TRIFASICO                   UNI   ATT1700000000287100
P2699155360001331429          REBOBINAMENTO 60CV 6P TRIFASICO                   UNI   ATT1700000000327000
P2699155360001331430          REBOBINAMENTO 75CV 6P TRIFASICO                   UNI   ATT1700000000336650
P2699155360001331432          REBOBINAMENTO 125CV 6P TRIFASICO                  UNI   ATT1700000000516100
P2699155360001331434          REBOBINAMENTO 1/8CV 2P MONOFASICO                 UNI   ATT1700000000008300
P2699155360001331435          REBOBINAMENTO 1/6CV 2P MONOFASICO                 UNI   ATT1700000000008500
P2699155360001331436          REBOBINAMENTO 1/4CV 2P MONOFASICO                 UNI   ATT1700000000008780
P2699155360001331437          REBOBINAMENTO 1/3CV 2P MONOFASICO                 UNI   ATT1700000000009700
P2699155360001331438          REBOBINAMENTO 1/2CV 2P MONOFASICO                 UNI   ATT1700000000010200
P2699155360001331439          REBOBINAMENTO 3/4CV 2P MONOFASICO                 UNI   ATT1700000000012200
P2699155360001331440          REBOBINAMENTO 1CV 2P MONOFASICO                   UNI   ATT1700000000013500
P2699155360001331441          REBOBINAMENTO 1.5CV 2P MONOFASICO                 UNI   ATT1700000000015300
P2699155360001331442          REBOBINAMENTO 2CV 2P MONOFASICO                   UNI   ATT1700000000019200
P2699155360001331443          REBOBINAMENTO 3CV 2P MONOFASICO                   UNI   ATT1700000000023000
P2699155360001331444          REBOBINAMENTO 1/8CV 4P MONOFASICO                 UNI   ATT1700000000009100
P2699155360001331445          REBOBINAMENTO 1/6CV 4P MONOFASICO                 UNI   ATT1700000000009200
P2699155360001331446          REBOBINAMENTO 1/4CV 4P MONOFASICO                 UNI   ATT1700000000009450
P2699155360001331447          REBOBINAMENTO 1/3CV 4P MONOFASICO                 UNI   ATT1700000000010000
P2699155360001331448          REBOBINAMENTO 1/2CV 4P MONOFASICO                 UNI   ATT1700000000011050
P2699155360001331449          REBOBINAMENTO 3/4CV 4P MONOFASICO                 UNI   ATT1700000000014250
P2699155360001331450          REBOBINAMENTO 1CV 4P MONOFASICO                   UNI   ATT1700000000015850
P2699155360001331451          REBOBINAMENTO 1.5CV 4P MONOFASICO                 UNI   ATT1700000000020800
P2699155360001331452          REBOBINAMENTO 2CV 4P MONOFASICO                   UNI   ATT1700000000023400
P2699155360001334019          MOTOR BOMBA 5.0 BUFFALO DIESEL                    UNI   ATT1700000000245000
P2699155360001331453          REBOBINAMENTO 3CV 4P MONOFASICO                   UNI   ATT1700000000026200
P2699155360001331454          REBOBINAMENTO 1.5CV 4P MONOFASICO BLINDADO        UNI   ATT1700000000029800
P2699155360001331455          REBOBINAMENTO 2CV 4P MONOFASICO BLINDADO          UNI   ATT1700000000037250
P2699155360001331456          REBOBINAMENTO 3CV 4P MONOFASICO BLINDADO          UNI   ATT1700000000040500
P2699155360001331457          REBOBINAMENTO 4CV 4P MONOFASICO BLINDADO          UNI   ATT1700000000047600
P2699155360001331458          REBOBINAMENTO 5CV 4P MONOFASICO BLINDADO          UNI   ATT1700000000058800
P2699155360001331459          REBOBINAMENTO 7.5CV 4P MONOFASICO BLINDADO        UNI   ATT1700000000067300
P2699155360001331460          REBOBINAMENTO 10CV 4P MONOFASICO BLINDADO         UNI   ATT1700000000074900
P2699155360001331461          REBOBINAMENTO 12.5CV 4P MONOFASICO BLINDADO       UNI   ATT1700000000089350
P2699155360001331462          REBOBINAMENTO 1.5CV 2P MONOFASICO BLINDADO        UNI   ATT1700000000025700
P2699155360001331463          REBOBINAMENTO 2CV 2P MONOFASICO BLINDADO          UNI   ATT1700000000028700
P2699155360001331464          REBOBINAMENTO 3CV 2P MONOFASICO BLINDADO          UNI   ATT1700000000037350
P2699155360001331465          REBOBINAMENTO 4CV 2P MONOFASICO BLINDADO          UNI   ATT1700000000044850
P2699155360001331466          REBOBINAMENTO 5CV 2P MONOFASICO BLINDADO          UNI   ATT1700000000048900
P2699155360001331467          REBOBINAMENTO 7.5CV 2P MONOFASICO BLINDADO        UNI   ATT1700000000060800
P2699155360001331468          REBOBINAMENTO 10CV 2P MONOFASICO BLINDADO         UNI   ATT1700000000069300
P2699155360001331469          REBOBINAMENTO 12.5CV 2P MONOFASICO BLINDADO       UNI   ATT1700000000076200
P2699155360001331470          REBOBINAMENTO 1/6CV 8P TRIFASICO                  UNI   ATT1700000000016400
P2699155360001331471          REBOBINAMENTO 1/4CV 8P TRIFASICO                  UNI   ATT1700000000018100
P2699155360001331472          REBOBINAMENTO 1/3CV 8P TRIFASICO                  UNI   ATT1700000000019200
P2699155360001331473          REBOBINAMENTO 1/2CV 8P TRIFASICO                  UNI   ATT1700000000019800
P2699155360001331474          REBOBINAMENTO 3/4CV 8P TRIFASICO                  UNI   ATT1700000000020900
P2699155360001331475          REBOBINAMENTO 1CV 8P TRIFASICO                    UNI   ATT1700000000022400
P2699155360001331476          REBOBINAMENTO 1.5CV 8P TRIFASICO                  UNI   ATT1700000000028900
P2699155360001331477          REBOBINAMENTO 2CV 8P TRIFASICO                    UNI   ATT1700000000038950
P2699155360001331478          REBOBINAMENTO 3CV 8P TRIFASICO                    UNI   ATT1700000000047800
P2699155360001331479          REBOBINAMENTO 4CV 8P TRIFASICO                    UNI   ATT1700000000053500
P2699155360001331480          REBOBINAMENTO 5CV 8P TRIFASICO                    UNI   ATT1700000000059300
P2699155360001331481          REBOBINAMENTO 6CV 8P TRIFASICO                    UNI   ATT1700000000080250
P2699155360001331482          REBOBINAMENTO 7.5CV 8P TRIFASICO                  UNI   ATT1700000000080800
P2699155360001331483          REBOBINAMENTO 10CV 8P TRIFASICO                   UNI   ATT1700000000090200
P2699155360001331484          REBOBINAMENTO 12.5CV 8P TRIFASICO                 UNI   ATT1700000000120600
P2699155360001331485          REBOBINAMENTO 15CV 8P TRIFASICO                   UNI   ATT1700000000130300
P2699155360001331486          REBOBINAMENTO 20CV 8P TRIFASICO                   UNI   ATT1700000000143200
P2699155360001331487          REBOBINAMENTO 25CV 8P TRIFASICO                   UNI   ATT1700000000170000
P2699155360001331488          REBOBINAMENTO 30CV 8P TRIFASICO                   UNI   ATT1700000000269700
P2699155360001331489          REBOBINAMENTO 40CV 8P TRIFASICO                   UNI   ATT1700000000286100
P2699155360001331490          REBOBINAMENTO 50CV 8P TRIFASICO                   UNI   ATT1700000000318000
P2699155360001331491          REBOBINAMENTO 60CV 8P TRIFASICO                   UNI   ATT1700000000344100
P2699155360001331492          REBOBINAMENTO 75CV 8P TRIFASICO                   UNI   ATT1700000000469400
P2699155360001331493          REBOBINAMENTO 100CV 8P TRIFASICO                  UNI   ATT1700000000507500
P2699155360001331494          REBOBINAMENTO 125CV 8P TRIFASICO                  UNI   ATT1700000000714800
P2699155360001331495          REBOBINAMENTO 150CV 8P TRIFASICO                  UNI   ATT1700000000750600
P2699155360001331556          HIDRAULICO KING C7E7 3CV SEM PONTA DE EIXO        UNI   ATT1700000000037500
P2699155360001331557          HIDRAULICO KING C8E8 5CV SEM PONTA DE EIXO        UNI   ATT1700000000052000
P2699155360001331558          HIDRAULICO KING C8E9  7.5CV SEM PONTA DE EIXO     UNI   ATT1700000000115700
P2699155360001331559          HIDRAULICO KING C8E10 10CV SEM PONTA DE EIXO      UNI   ATT1700000000078000
P2699155360001331562          MOTOR VOGES BLINDADO IP55 5CV 100L4 4P 220/380    UNI   ATT1700000000111600
P2699155360001331563          MOTOR VOGES BLINDADO 5CV 100L2 2/3 B34/JM         UNI   ATT1700000000119300
P2699155360001331564          COLA ADESIVA P/ PVC 75GR VÍQUA                    UNI   ATT1700000000000350
P2699155360001331568          NIPLE CIPLA 1 1/2" ADAPTADOR RURAL EXTERNO 1.1/2" UNI   ATT1700000000000450
P2699155360001331569          NIPLE CIPLA 2"                                    UNI   ATT1700000000000500
P2699155360001331571          NIPLE CIPLA 3/4                                   UNI   ATT1700000000000150
P2699155360001331572          NIPLE CIPLA DUPLO 1/2                             UNI   ATT1700000000000060
P2699155360001331573          NIPLE CIPLA DUPLO 3/4                             UNI   ATT1700000000000100
P2699155360001331577          TEE CIPLA EXTERNO 1/2"                            UNI   ATT1700000000000100
P2699155360001331580          LUVA LR SOLD 3/4 KRONA                            UNI   ATT1700000000000250
P2699155360001334018          MANGUEIRA DE ALTA PRESSÃO DN 6.9M STIHL           UNI   ATF0000000000023200
P2699155360001331584          LUVA LR SOLDAVEL 1/2                              UNI   ATT1700000000000120
P2699155360001331585          ADAPTADOR INTERNO P/ MANGOTI 3/4 CIPLA            UNI   ATT1700000000000300
P2699155360001331586          ADAPTADOR INTERNO P/ MANGOTI 1 CIPLA              UNI   ATT1700000000000300
P2699155360001331587          TEE CIPLA EXTERNO 3/4                             UNI   ATT1700000000000120
P2699155360001331588          TEE CIPLA EXTERNO 1"                              UNI   ATT1700000000000200
P2699155360001331746          ADAPTADOR SOLD 3/4 X 25MM  KRONA                  UNI   ATF0000000000000050
P2699155360001331590          ADAPTADOR AZUL SOLDÁVEL 50MM X 1.1/2 INJETPLAS    UNI   ATF0000000000000250
P2699155360001331591          ADAPTADOR SOLDAVEL 60MM X 2"  INJETPLAS           UNI   ATF0000000000000690
P2699155360001331592          ADAPTADOR AZUL SOLDÁVEL 75MM X 3 INJETPLAS        UNI   ATF0000000000000400
P2699155360001333090          CAP SOLDÁVEL AZUL 50MM  INJETPLAS                 UNI   ATT1700000000000300
P2699155360001331594          CAP SOLDÁVEL AZUL 75MM INJETPLAS                  UNI   ATT1700000000000380
P2699155360001331595          CURVA SOLDÁVEL BOLSA X BOLSA 90° X 32MM INJETPLAS UNI   ATF0000000000000600
P2699155360001331641          LUVA SOLDAVEL RED 35MM X 32MM INJETPLAS           UNI   ATT1700000000000120
P2699155360001331596          CURVA SOLDAVEL BOLSA X BOLSA 45 32MM INJETPLAS    UNI   ATT1700000000000450
P2699155360001331597          CURVA SOLDAVEL BOLSA X BOLSA 90 X 35MM INJETPLAS  UNI   ATF0000000000000600
P2699155360001331598          CURVA SOLDAVEL BOLSA X BOLSA 45 35MM INJETPLAS    UNI   ATT1700000000000450
P2699155360001331599          CURVA SOLDÁVEL AZUL 90° X 50MM INJETPLAS          UNI   ATT1700000000000790
P2699155360001331600          CURVA SOLDAVEL 45  50MM INJETPLAS                 UNI   ATT1700000000000590
P2699155360001331601          CURVA SOLDÁVEL AZUL 90° X 75MM INJETPLAS          UNI   ATF0000000000001350
P2699155360001331602          CURVA SOLDAVEL 45 75MM INJETPLAS                  UNI   ATT1700000000001600
P2699155360001331603          LUVA SOLDÁVEL AZUL 50MM INJETPLAS                 UNI   ATF0000000000000350
P2699155360001331604          LUVA SOLDAVEL RED. 50MM X 32MM INJETPLA           UNI   ATT1700000000000500
